0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
2,"[2, 2, 2, 1, 1, 1, 1, 2, 2, 1]",15,"[0.07425258882482759, 0.07425258882482759, 0.07425258882482759, 0.12574741117517244, 0.12574741117517244, 0.12574741117517244, 0.12574741117517244, 0.07425258882482759, 0.07425258882482759, 0.12574741117517244]"
3,"[3, 2, 2, 2, 0, 0, 3, 3, 3, 1]",19,"[0.042504659480025415, 0.08886668401995793, 0.08886668401995793, 0.08886668401995793, 0.2064424001539116, 0.2064424001539116, 0.042504659480025415, 0.042504659480025415, 0.042504659480025415, 0.15049650971220155]"
4,"[4, 1, 1, 1, 3, 4, 4, 4, 4, 0]",26,"[0.021036989191183093, 0.19226086219731386, 0.19226086219731386, 0.19226086219731386, 0.0543001461938248, 0.021036989191183093, 0.021036989191183093, 0.021036989191183093, 0.021036989191183093, 0.2637323212583181]"
5,"[1, 5, 5, 2, 4, 5, 5, 5, 5, 5]",42,"[0.5153930226778605, 0.01769696683060623, 0.01769696683060623, 0.3043344259610499, 0.05639378354684615, 0.01769696683060623, 0.01769696683060623, 0.01769696683060623, 0.01769696683060623, 0.01769696683060623]"
6,"[4, 2, 2, 6, 6, 2, 2, 6, 1, 1]",32,"[0.02432850680578094, 0.1312911049331591, 0.1312911049331591, 0.0019405984532686318, 0.0019405984532686318, 0.1312911049331591, 0.1312911049331591, 0.0019405984532686318, 0.22234263905088833, 0.22234263905088833]"
7,"[4, 4, 7, 4, 5, 7, 5, 7, 7, 7]",57,"[0.2695608728572444, 0.2695608728572444, 0.004427053008104297, 0.2695608728572444, 0.0845910581938726, 0.004427053008104297, 0.0845910581938726, 0.004427053008104297, 0.004427053008104297, 0.004427053008104297]"
8,"[1, 1, 2, 8, 2, 8, 5, 8, 3, 2]",40,"[0.24455047112865638, 0.24455047112865638, 0.14440460769676036, 7.328949524528984e-05, 0.14440460769676036, 7.328949524528984e-05, 0.008397089959593795, 7.328949524528984e-05, 0.06906827620707662, 0.14440460769676036]"
9,"[6, 5, 9, 9, 3, 9, 9, 0, 0, 4]",54,"[0.0027458864943850528, 0.010802641365969241, 1.273651356318916e-05, 1.273651356318916e-05, 0.08885457000234975, 1.273651356318916e-05, 1.273651356318916e-05, 0.43156093756142405, 0.43156093756142405, 0.03442408096019508]"
10,"[10, 10, 10, 3, 1, 10, 3, 1, 10, 10]",68,"[1.7270527255374666e-06, 1.7270527255374666e-06, 1.7270527255374666e-06, 0.11011389001214722, 0.3898809288296761, 1.7270527255374666e-06, 0.11011389001214722, 0.3898809288296761, 1.7270527255374666e-06, 1.7270527255374666e-06]"
11,"[2, 11, 4, 11, 11, 11, 1, 1, 7, 5]",64,"[0.215818865463307, 1.4349216210262665e-07, 0.03999167148386073, 1.4349216210262665e-07, 1.4349216210262665e-07, 1.4349216210262665e-07, 0.36549114373369057, 0.36549114373369057, 0.0006567913498169488, 0.012549810266985796]"
12,"[8, 8, 3, 3, 12, 12, 12, 12, 8, 12]",90,"[0.0005297150397000533, 0.0005297150397000533, 0.49920530289635434, 0.49920530289635434, 4.981763820291478e-08, 4.981763820291478e-08, 4.981763820291478e-08, 4.981763820291478e-08, 0.0005297150397000533, 4.981763820291478e-08]"
13,"[13, 2, 2, 13, 2, 4, 9, 6, 13, 1]",65,"[5.671728724385585e-10, 0.20434602093094684, 0.20434602093094684, 5.671728724385585e-10, 0.20434602093094684, 0.03786573022965854, 1.4009884162420203e-05, 0.0030204146149282705, 5.671728724385585e-10, 0.34606178077689165]"
14,"[2, 14, 7, 14, 14, 10, 14, 14, 14, 10]",113,"[0.99695106746541, 1.303334470521037e-10, 0.0030339740499348523, 1.303334470521037e-10, 1.303334470521037e-10, 7.4788513270316035e-06, 1.303334470521037e-10, 1.303334470521037e-10, 1.303334470521037e-10, 7.4788513270316035e-06]"
15,"[11, 4, 4, 15, 15, 3, 4, 1, 1, 2]",60,"[1.2264268436698898e-07, 0.0341808630606289, 0.0341808630606289, 9.2003151675305e-13, 9.2003151675305e-13, 0.08822678209109609, 0.0341808630606289, 0.31238511095680455, 0.31238511095680455, 0.18446028416888358]"
16,"[11, 11, 3, 7, 4, 3, 6, 7, 11, 16]",79,"[5.718034194495027e-07, 5.718034194495027e-07, 0.4113443532902138, 0.002617254727973126, 0.1593632304990834, 0.4113443532902138, 0.012711838054151657, 0.002617254727973126, 5.718034194495027e-07, 1.3255942661044403e-13]"
17,"[17, 11, 17, 11, 11, 11, 1, 1, 17, 17]",114,"[1.1391284114687629e-15, 1.9630030972372317e-07, 1.1391284114687629e-15, 1.9630030972372317e-07, 1.9630030972372317e-07, 1.9630030972372317e-07, 0.4999996073993784, 0.4999996073993784, 1.1391284114687629e-15, 1.1391284114687629e-15]"
18,"[6, 2, 2, 12, 12, 2, 3, 5, 18, 18]",80,"[0.00416218968260695, 0.28159276405195427, 0.28159276405195427, 1.3440734458713201e-08, 1.3440734458713201e-08, 0.28159276405195427, 0.13468494610848117, 0.016374545171580265, 2.202849431543271e-17, 2.202849431543271e-17]"
19,"[12, 1, 1, 4, 4, 3, 12, 4, 19, 19]",79,"[1.0795911706397487e-08, 0.3830410035535429, 0.3830410035535429, 0.041911959404748726, 0.041911959404748726, 0.10818209308684425, 1.0795911706397487e-08, 0.041911959404748726, 2.9058888900349894e-19, 2.9058888900349894e-19]"
20,"[20, 6, 13, 2, 6, 20, 2, 13, 20, 20]",122,"[8.420963865886233e-21, 0.007282795305604954, 1.3675618944653086e-09, 0.49271720332683316, 0.007282795305604954, 8.420963865886233e-21, 0.49271720332683316, 1.3675618944653086e-09, 8.420963865886233e-21, 8.420963865886233e-21]"
21,"[14, 3, 21, 21, 2, 2, 9, 9, 9, 21]",111,"[5.274638054932234e-11, 0.1929781732156517, 7.430236007676275e-23, 7.430236007676275e-23, 0.40346942080463344, 0.40346942080463344, 2.766170744504888e-05, 2.766170744504888e-05, 2.766170744504888e-05, 7.430236007676275e-23]"
22,"[6, 22, 4, 14, 22, 22, 22, 0, 0, 22]",134,"[0.003049995972916775, 3.3166817173139057e-25, 0.03823657988582281, 2.6976209593890053e-11, 3.3166817173139057e-25, 3.3166817173139057e-25, 3.3166817173139057e-25, 0.4793567120571421, 0.4793567120571421, 3.3166817173139057e-25]"
23,"[10, 2, 14, 2, 14, 23, 7, 14, 23, 4]",113,"[3.4280229706042036e-06, 0.4569647142853766, 5.973992940838016e-11, 0.4569647142853766, 5.973992940838016e-11, 5.1926077630715355e-27, 0.001390659110684818, 5.973992940838016e-11, 5.1926077630715355e-27, 0.08467648411637164]"
24,"[3, 8, 6, 11, 5, 5, 24, 5, 24, 6]",97,"[0.7004769228907017, 0.000743287699199497, 0.02164694648956281, 9.73722129769413e-07, 0.08516164090294773, 0.08516164090294773, 9.529762572819192e-29, 0.08516164090294773, 9.529762572819192e-29, 0.02164694648956281]"
25,"[16, 16, 3, 10, 2, 2, 10, 10, 16, 2]",87,"[4.4313207181613564e-14, 4.4313207181613564e-14, 0.13750804462894345, 2.156709232900103e-06, 0.28749516174774165, 0.28749516174774165, 2.156709232900103e-06, 2.156709232900103e-06, 4.4313207181613564e-14, 0.28749516174774165]"
26,"[3, 17, 3, 1, 1, 10, 10, 3, 4, 16]",68,"[0.09552134622873261, 7.705367234979394e-16, 0.09552134622873261, 0.33821301914418794, 0.33821301914418794, 1.4981797603657626e-06, 1.4981797603657626e-06, 0.09552134622873261, 0.0370069266658739, 3.0782615061704654e-14]"
27,"[11, 6, 6, 2, 16, 16, 3, 1, 16, 3]",80,"[1.8068849103436579e-07, 0.004016909934692572, 0.004016909934692572, 0.27176386895211413, 4.18884566826854e-14, 4.18884566826854e-14, 0.12998381605180245, 0.4602344983862792, 4.18884566826854e-14, 0.12998381605180245]"
28,"[2, 17, 17, 2, 17, 4, 5, 1, 1, 11]",77,"[0.17760506727101447, 6.852449220387493e-16, 6.852449220387493e-16, 0.17760506727101447, 6.852449220387493e-16, 0.03291057752955792, 0.010327687952216735, 0.30077574094567966, 0.30077574094567966, 1.180848349303977e-07]"
29,"[12, 12, 12, 18, 18, 18, 0, 0, 7, 4]",101,"[9.87309999200482e-09, 9.87309999200482e-09, 9.87309999200482e-09, 1.6181372209804008e-17, 1.6181372209804008e-17, 1.6181372209804008e-17, 0.48052053246414056, 0.48052053246414056, 0.0006294917523494946, 0.038329413700069356]"
30,"[8, 2, 2, 8, 12, 7, 12, 3, 2, 7]",63,"[0.00014561571009484388, 0.2869112335997772, 0.2869112335997772, 0.00014561571009484388, 1.369459089980361e-08, 0.0008731433926738061, 1.369459089980361e-08, 0.1372287536059493, 0.2869112335997772, 0.0008731433926738061]"
31,"[4, 19, 19, 19, 19, 12, 1, 1, 3, 3]",100,"[0.040915336938697935, 2.83678989793852e-19, 2.83678989793852e-19, 2.83678989793852e-19, 2.83678989793852e-19, 1.0539196241386863e-08, 0.373932689960434, 0.373932689960434, 0.10560963630061891, 0.10560963630061891]"
32,"[5, 13, 4, 9, 19, 19, 2, 2, 19, 2]",94,"[0.01792797062974148, 8.557218912539461e-10, 0.05712990846427563, 2.113740828289286e-05, 3.960997496963713e-19, 3.960997496963713e-19, 0.30830699421399266, 0.30830699421399266, 3.960997496963713e-19, 0.30830699421399266]"
33,"[5, 10, 3, 6, 19, 1, 1, 19, 12, 6]",82,"[0.014710155326714512, 1.8977131232228985e-06, 0.12099490133408863, 0.0037391241154387444, 3.2500548797420595e-19, 0.4284073926603223, 0.4284073926603223, 3.2500548797420595e-19, 1.2074551660582968e-08, 0.0037391241154387444]"
34,"[20, 20, 13, 13, 4, 9, 19, 1, 19, 1]",119,"[4.7841571642295264e-21, 4.7841571642295264e-21, 7.769456251247025e-10, 7.769456251247025e-10, 0.05187062864554124, 1.91915353103835e-05, 3.5963549698211164e-19, 0.47405508913262856, 3.5963549698211164e-19, 0.47405508913262856]"
35,"[20, 2, 10, 10, 1, 1, 13, 5, 3, 3]",68,"[3.163934603896099e-21, 0.18512429626446503, 1.3887512977975952e-06, 1.3887512977975952e-06, 0.31350962127125775, 0.31350962127125775, 5.138219887626997e-10, 0.01076492914065152, 0.08854437701797521, 0.08854437701797521]"
36,"[21, 21, 3, 4, 1, 1, 1, 9, 13, 9]",83,"[3.205957158320521e-23, 3.205957158320521e-23, 0.08326515539764412, 0.03225862722081628, 0.2948174487523745, 0.2948174487523745, 0.2948174487523745, 1.1935320614742747e-05, 4.831867271748646e-10, 1.1935320614742747e-05]"
37,"[2, 14, 7, 14, 3, 2, 5, 7, 10, 4]",68,"[0.3665900579411713, 4.792506620006303e-11, 0.0011156261917500954, 4.792506620006303e-11, 0.17533888828408262, 0.3665900579411713, 0.021317115457208338, 0.0011156261917500954, 2.7500572804241926e-06, 0.06792987783973567]"
38,"[21, 21, 1, 1, 8, 8, 13, 8, 13, 2]",96,"[4.1963519673615225e-23, 4.1963519673615225e-23, 0.38589342277194727, 0.38589342277194727, 0.0001156486595298944, 0.0001156486595298944, 6.324543570149926e-10, 0.0001156486595298944, 6.324543570149926e-10, 0.2278662072126072]"
39,"[10, 22, 10, 2, 10, 2, 2, 10, 5, 3]",76,"[2.1212422225532046e-06, 4.545002372393914e-25, 2.1212422225532046e-06, 0.2827673135423166, 2.1212422225532046e-06, 0.2827673135423166, 0.2827673135423166, 2.1212422225532046e-06, 0.01644284491554189, 0.13524672948861807]"
40,"[6, 4, 4, 1, 1, 14, 22, 14, 22, 3]",91,"[0.0034772825859511578, 0.043593301290870266, 0.043593301290870266, 0.3984070921956223, 0.3984070921956223, 3.075541892145378e-11, 3.781329444749705e-25, 3.075541892145378e-11, 3.781329444749705e-25, 0.11252193037955269]"
41,"[8, 5, 2, 2, 11, 11, 2, 2, 4, 8]",55,"[0.00011957417724261515, 0.013700123323133162, 0.23560077876907531, 0.23560077876907531, 1.566446244912959e-07, 1.566446244912959e-07, 0.23560077876907531, 0.23560077876907531, 0.043657299956831284, 0.00011957417724261515]"
42,"[1, 1, 5, 15, 23, 23, 10, 0, 0, 14]",92,"[0.20930023532197647, 0.20930023532197647, 0.0071867083160848675, 6.164276279693599e-13, 1.4043815519905296e-27, 1.4043815519905296e-27, 9.271357359117352e-07, 0.2871059469437263, 0.2871059469437263, 1.615713310275498e-11]"
43,"[15, 3, 1, 15, 3, 1, 15, 6, 15, 2]",76,"[9.308191935441554e-13, 0.08926127057566123, 0.3160479307080763, 9.308191935441554e-13, 0.08926127057566123, 0.3160479307080763, 9.308191935441554e-13, 0.0027584548249896027, 9.308191935441554e-13, 0.18662314260381202]"
44,"[2, 16, 7, 12, 4, 9, 9, 9, 2, 24]",94,"[0.4569233254479146, 7.042809994990926e-14, 0.001390533153992544, 2.1809456311897695e-08, 0.08466881468123061, 3.1326486473628495e-05, 3.1326486473628495e-05, 3.1326486473628495e-05, 0.4569233254479146, 2.973234363135325e-29]"
45,"[25, 25, 2, 2, 16, 16, 16, 5, 11, 2]",120,"[9.869495549400592e-32, 9.869495549400592e-32, 0.32699503575309913, 0.32699503575309913, 5.0401539554952324e-14, 5.0401539554952324e-14, 5.0401539554952324e-14, 0.019014675330342408, 2.1741020914140302e-07, 0.32699503575309913]"
46,"[6, 25, 3, 12, 25, 25, 12, 3, 25, 25]",161,"[0.015216457406610253, 3.107184008866329e-31, 0.49239172215901045, 4.9137684488340916e-08, 3.107184008866329e-31, 3.107184008866329e-31, 4.9137684488340916e-08, 0.49239172215901045, 3.107184008866329e-31, 3.107184008866329e-31]"
47,"[5, 2, 2, 8, 5, 8, 10, 10, 8, 25]",83,"[0.02745713444942263, 0.4721798560840809, 0.4721798560840809, 0.00023964486915864706, 0.02745713444942263, 0.00023964486915864706, 3.5421627585493745e-06, 3.5421627585493745e-06, 0.00023964486915864706, 1.4251522129091776e-31]"
48,"[5, 6, 26, 11, 4, 5, 5, 5, 2, 13]",82,"[0.04058801325015088, 0.010316928392032321, 7.915107814752448e-34, 4.640756834416292e-07, 0.12933920573705018, 0.04058801325015088, 0.04058801325015088, 0.04058801325015088, 0.6979913468573197, 1.937310818829703e-09]"
49,"[27, 3, 3, 27, 27, 1, 1, 18, 18, 18]",143,"[7.944999148996607e-37, 0.1101150310589343, 0.1101150310589343, 7.944999148996607e-37, 7.944999148996607e-37, 0.38988496894106567, 0.38988496894106567, 1.8009943990115205e-17, 1.8009943990115205e-17, 1.8009943990115205e-17]"
50,"[19, 11, 11, 11, 11, 2, 0, 0, 27, 8]",100,"[2.275266426705641e-19, 1.17746997619621e-07, 1.17746997619621e-07, 1.17746997619621e-07, 1.17746997619621e-07, 0.17709694429025644, 0.4114063514623016, 0.4114063514623016, 6.111613523622572e-37, 8.988179714993467e-05]"
51,"[18, 18, 2, 14, 2, 14, 18, 28, 8, 14]",136,"[3.91041754143898e-17, 3.91041754143898e-17, 0.4998731498955015, 6.534943673846268e-11, 0.4998731498955015, 6.534943673846268e-11, 3.91041754143898e-17, 4.2523368823832074e-39, 0.000253700012948661, 6.534943673846268e-11]"
52,"[29, 4, 3, 9, 6, 10, 4, 4, 28, 4]",101,"[1.3760474035660686e-41, 0.15011968200733014, 0.3874851389373217, 5.55425537198472e-05, 0.011974513069555909, 6.077410081808406e-06, 0.15011968200733014, 0.15011968200733014, 6.891683721948791e-39, 0.15011968200733014]"
53,"[7, 19, 2, 2, 19, 7, 19, 19, 5, 28]",127,"[0.0014742754049131238, 6.223888331121434e-19, 0.48444067565366894, 0.48444067565366894, 6.223888331121434e-19, 0.0014742754049131238, 6.223888331121434e-19, 6.223888331121434e-19, 0.0281700978828359, 4.121055417438167e-39]"
54,"[6, 3, 3, 15, 12, 12, 3, 15, 4, 10]",83,"[0.009040399333198836, 0.2925396942093226, 0.2925396942093226, 3.0506126619916567e-12, 2.9193673547849215e-08, 2.9193673547849215e-08, 0.2925396942093226, 3.0506126619916567e-12, 0.11333587138248623, 4.588262899043644e-06]"
55,"[2, 2, 20, 20, 20, 4, 11, 11, 14, 1]",105,"[0.25781088812408887, 0.25781088812408887, 4.4062114301393575e-21, 4.4062114301393575e-21, 4.4062114301393575e-21, 0.04777287805997601, 1.7141152915945386e-07, 1.7141152915945386e-07, 3.370414339612771e-11, 0.436605002835084]"
