0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
2,"[2, 2, 2, 2, 1, 1, 2, 2, 1, 1]",16,"[0.08889837138183627, 0.08889837138183627, 0.08889837138183627, 0.08889837138183627, 0.11665244292724557, 0.11665244292724557, 0.08889837138183627, 0.08889837138183627, 0.11665244292724557, 0.11665244292724557]"
3,"[2, 2, 3, 3, 3, 2, 1, 2, 0, 2]",20,"[0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.11808642753010204, 0.0899911808642753, 0.16198412555569555, 0.0899911808642753]"
4,"[2, 4, 1, 1, 1, 1, 1, 4, 4, 4]",23,"[0.08649770781074301, 0.08649770781074301, 0.11350229218925698, 0.11350229218925698, 0.11350229218925698, 0.11350229218925698, 0.11350229218925698, 0.08649770781074301, 0.08649770781074301, 0.08649770781074301]"
5,"[3, 5, 3, 5, 3, 5, 1, 3, 5, 5]",38,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209]"
6,"[2, 6, 6, 3, 2, 2, 2, 2, 3, 4]",32,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
7,"[3, 5, 7, 7, 2, 7, 7, 7, 1, 3]",49,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209]"
8,"[5, 5, 2, 2, 2, 2, 1, 8, 8, 8]",43,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209]"
9,"[9, 2, 6, 6, 6, 3, 1, 3, 4, 9]",49,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209]"
10,"[2, 10, 5, 2, 2, 2, 2, 5, 10, 5]",45,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
11,"[2, 11, 11, 4, 1, 11, 3, 11, 2, 4]",60,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209]"
12,"[8, 2, 2, 2, 12, 2, 1, 8, 12, 8]",57,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209]"
13,"[13, 4, 4, 13, 13, 8, 1, 1, 13, 5]",75,"[0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.1235081510485298, 0.1235081510485298, 0.09412296223786755, 0.09412296223786755]"
14,"[6, 2, 2, 2, 2, 14, 14, 4, 9, 14]",69,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
15,"[3, 5, 10, 5, 10, 2, 5, 15, 10, 15]",80,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
16,"[10, 16, 2, 10, 16, 4, 10, 7, 16, 7]",98,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
17,"[17, 8, 4, 3, 3, 3, 3, 2, 4, 17]",64,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
18,"[6, 18, 3, 6, 11, 11, 1, 18, 11, 18]",103,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209]"
19,"[2, 2, 2, 2, 2, 12, 12, 19, 0, 4]",57,"[0.09259259259259259, 0.09259259259259259, 0.09259259259259259, 0.09259259259259259, 0.09259259259259259, 0.09259259259259259, 0.09259259259259259, 0.09259259259259259, 0.16666666666666669, 0.09259259259259259]"
20,"[20, 5, 20, 3, 20, 20, 5, 20, 5, 3]",121,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
21,"[2, 4, 7, 2, 7, 9, 2, 2, 21, 2]",58,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
22,"[3, 3, 10, 10, 22, 13, 13, 13, 13, 1]",101,"[0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.12724733810438124]"
23,"[2, 23, 23, 10, 2, 2, 2, 2, 4, 23]",93,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
24,"[24, 3, 5, 7, 7, 24, 7, 4, 1, 4]",86,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209]"
25,"[25, 5, 10, 15, 2, 4, 25, 15, 5, 2]",108,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
26,"[11, 3, 3, 3, 6, 16, 11, 2, 6, 11]",72,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
27,"[27, 27, 27, 3, 1, 10, 1, 10, 6, 10]",122,"[0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.1235081510485298, 0.09412296223786755, 0.1235081510485298, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755]"
28,"[7, 4, 28, 2, 2, 2, 2, 4, 17, 28]",96,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
29,"[29, 18, 2, 29, 29, 29, 29, 29, 29, 29]",252,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
30,"[6, 2, 18, 4, 18, 3, 6, 11, 9, 2]",79,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
31,"[3, 3, 19, 3, 12, 2, 10, 12, 19, 10]",93,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
32,"[6, 6, 32, 32, 32, 6, 6, 8, 8, 19]",155,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
33,"[9, 5, 2, 5, 33, 2, 14, 14, 2, 2]",88,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
34,"[3, 3, 3, 21, 21, 11, 1, 0, 20, 3]",86,"[0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.11808642753010204, 0.16198412555569555, 0.0899911808642753, 0.0899911808642753]"
35,"[7, 7, 1, 1, 1, 1, 1, 21, 21, 2]",63,"[0.08649770781074301, 0.08649770781074301, 0.11350229218925698, 0.11350229218925698, 0.11350229218925698, 0.11350229218925698, 0.11350229218925698, 0.08649770781074301, 0.08649770781074301, 0.08649770781074301]"
36,"[3, 4, 10, 5, 21, 2, 5, 4, 10, 4]",68,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
37,"[11, 2, 5, 22, 11, 2, 14, 14, 14, 2]",97,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
38,"[3, 3, 15, 3, 22, 1, 10, 21, 0, 10]",88,"[0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.0899911808642753, 0.11808642753010204, 0.0899911808642753, 0.0899911808642753, 0.16198412555569555, 0.0899911808642753]"
39,"[22, 4, 11, 2, 6, 22, 6, 22, 6, 3]",104,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
40,"[9, 2, 2, 2, 2, 2, 9, 4, 9, 22]",63,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
41,"[2, 4, 15, 2, 6, 6, 15, 4, 2, 2]",58,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
42,"[3, 3, 5, 16, 5, 5, 23, 3, 5, 11]",79,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
43,"[12, 2, 24, 12, 24, 4, 9, 4, 1, 4]",96,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209]"
44,"[2, 2, 2, 2, 1, 10, 1, 10, 25, 0]",55,"[0.08753194916144394, 0.08753194916144394, 0.08753194916144394, 0.08753194916144394, 0.11485942368964673, 0.08753194916144394, 0.11485942368964673, 0.08753194916144394, 0.08753194916144394, 0.1575575084905991]"
45,"[1, 16, 1, 1, 1, 16, 1, 3, 8, 25]",73,"[0.11350229218925698, 0.08649770781074301, 0.11350229218925698, 0.11350229218925698, 0.11350229218925698, 0.08649770781074301, 0.11350229218925698, 0.08649770781074301, 0.08649770781074301, 0.08649770781074301]"
46,"[7, 7, 4, 26, 7, 3, 26, 9, 26, 4]",119,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
47,"[10, 27, 2, 5, 4, 10, 4, 2, 16, 3]",83,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
48,"[17, 6, 3, 5, 6, 9, 3, 3, 27, 3]",82,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
49,"[18, 4, 3, 10, 18, 10, 1, 27, 10, 1]",102,"[0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.1235081510485298, 0.09412296223786755, 0.09412296223786755, 0.1235081510485298]"
50,"[11, 11, 17, 4, 2, 2, 2, 2, 4, 12]",67,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
51,"[13, 3, 13, 13, 2, 5, 5, 5, 5, 1]",65,"[0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.0969725179884021, 0.12724733810438124]"
52,"[4, 29, 29, 18, 18, 9, 2, 2, 2, 2]",115,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
53,"[2, 5, 29, 29, 2, 5, 10, 7, 7, 29]",125,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
54,"[8, 4, 11, 2, 4, 11, 2, 19, 6, 6]",73,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
55,"[3, 3, 3, 3, 20, 20, 30, 1, 4, 9]",96,"[0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.09697251798840209, 0.1272473381043812, 0.09697251798840209, 0.09697251798840209]"
56,"[14, 1, 4, 19, 2, 30, 14, 5, 8, 1]",98,"[0.09412296223786755, 0.1235081510485298, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.09412296223786755, 0.1235081510485298]"
57,"[11, 2, 2, 2, 6, 15, 11, 2, 6, 9]",66,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
58,"[21, 12, 32, 10, 32, 13, 4, 13, 4, 31]",172,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
59,"[3, 3, 3, 3, 21, 3, 3, 5, 3, 5]",52,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002, 0.10000000000000002]"
